id,category,name,price,description,image,alt
1,トマト,濃厚エビソースのペスカトーレ,1090,細かく刻んだエビをくわえた濃厚なトマトソースでつくった贅沢なペスカトーレです。,https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c4_001_200917.png,濃厚エビソースのペスカトーレ
2,トマト,サルシッチャと揚げナスのトマトソース,790,,https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c4_002_200917.png,サルシッチャと揚げナスのトマトソース
3,トマト,ポモドーロイタリアーノ,630,"パスタソースの代表とも言えるトマトソース。
シンプルだからトマトのおいしさがわかります。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c4_003_200917.png,ポモドーロイタリアーノ
4,トマト,エビとベーコンのガーリックトマトソース,730,,https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c4_004_200917.png,エビとベーコンのガーリックトマトソース
5,スペチアーレ,ペンネ牛タンシチュー,930,"牛タンシチューにクリームソースをくわえてまろやかな味に。
※大盛りはございません。
※一部店舗で、販売を休止しております。何卒ご了承ください。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c3_002_200917.png,ペンネ牛タンシチュー
6,スペチアーレ,ペンネクワトロフォルマッジ,830,"モッツァレラチーズ、グラナパダーノ、ゴルゴンゾーラ、フレッシュモッツァレラでつくるチーズたっぷりのペンネ。
※大盛りはございません。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c3_001_200917.png,ペンネクワトロフォルマッジ
7,クリーム,カルボナーラ,830,,,
8,クリーム,たらこクリーム,790,,,
9,ミートソース,ごろごろ牛肉の本格ボロネーゼ,890,旨みと噛みごたえが感じられるよう牛肉を粗挽きにし、トマトや赤ワインの濃厚ソースで煮込みました。,,
10,ミートソース,ミートソース,630,,,
11,ペペロンチーノ,サーモンとアボカドのペペロンチーノ,890,,https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c7_001_200917.png,サーモンとアボカドのペペロンチーノ
12,ペペロンチーノ,ベーコンとオニオンのペペロンチーノ,630,,https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c7_005_200917.png,ベーコンとオニオンのペペロンチーノ